id;frase;
21;No hay nada mejor que la cerveza para darle a uno esa falsa sensaci¢n de bienestar.  Barney G¢mez;
22;≠Oh, no! ≠Elecciones! ®Es uno de esos d°as en que cierran las tabernas, no es cierto?  Barney G¢mez;
23;Yo d° un discurso un d°a. Estaba muy nervioso y usÇ un truco: imaginÇ a todos en ropa interior. Al juez, al jurado, a mi abogado, a todos. ®Si funcion¢? Soy un hombre libre, ®no?  Barney G¢mez;
24;êl es un poco t°mido s¢lo porque he tratado de matarlo tantas veces.  Bob Pati§o;
25;Una vez tratÇ de matar al amante m†s grande de mundo, pero entonces me di cuenta de que hab°a las leyes contra el suicidio.  Bob Pati§o;
26;Ah, ®quÇ tal, mamita? Eh... perdona por haber desconectado el pulm¢n artificial pero, ®quiÇn habr°a pensado que saldr°as y vivir°as otras 5 dÇcadas?.  Montgomery Burns;
27;Ah, lunes a la ma§ana, hora de pagar por sus 2 d°as de ocio, z†nganos miserables.  Montgomery Burns;
28;≠Me dijo NO! ®Sabe cu†ntas mujeres me han dicho que no? 130. Pero s¢lo una desde que soy billonario, ≠es la mujer para mi, estoy enamorado!  Montgomery Burns;
29;Smithers, no volvamos a verter residuos nucleares en el patio de un colegio, tantos ni§os calvos empiezan a levantar sospechas.  Montgomery Burns;
30;®Un d¢lar por felicidad eterna? Mmm... Prefiero el d¢lar.  Montgomery Burns;
31;Schindler y yo somos como dos gotas de agua: ambos ten°amos f†bricas de munici¢n para los nazis... ≠Pero la m°a funcionaba!  Montgomery Burns;
32;Smithers, emborr†chese y balancÇese c¢micamente para mi regocijo.  Montgomery Burns;
33;ja, ja, ®?fusi¢n nuclear??. Es uno de esos tÇrminos desagradables. Yo lo llamar°a ?un excedente de fisi¢n no requerida?.  Montgomery Burns;
34;Homero, ≠frote mis piernas hasta que recuperen su sensibilidad!  Montgomery Burns;
35;Familia, religi¢n, amistad. Estos son los tres demonios usted debe matar si desea tener Çxito en los negocios.  Montgomery Burns;
36;Yo podr°a aplastarlo como a una hormiga. Pero ser°a demasiado f†cil. No, la venganza es un plato que sabe mejor fr°o. EsperarÇ la hora propicia hasta que... ah, quÇ demonios, acabo de lo aplastarlo como una hormiga.  Montgomery Burns;
37;®De quÇ sirve el dinero si no se puede inspirar terror en el pr¢jimo?  Montgomery Burns;
38;No me gusta estar al aire libre por una raz¢n: hay demasiados ni§os gordos.  Montgomery Burns;
39;Todo el mundo comete errores. Por eso ponen gomas de borrar en los l†pices.  Carl Carlson;
40;Todo es relativo. ®Es Lenny realmente ese tonto? ®Es Barney ese borracho? ®Es Homero realmente ese perezoso calvo y gordo?  Carl Carlson;
41;Sabes, estoy cansado de que la gente crea que soy bueno jugando al basketball s¢lo porque soy negro.  Carl Carlson;
42;Propongo que use lo que queda del Tesoro de la ciudad para mudarme a otro lugar mas pr¢spero y ser alcalde ah°. Prometo que una vez electo enviarÇ por todos ustedes.  Alcalde Diamante;
43;®No podemos tener una reuni¢n que no termine con el desentierro de un cad†ver?  Alcalde Diamante;
44;La mayor°a de ustedes nunca se enamorar†n, s¢lo tendr†n miedo de morir solos.  Edna Krabappel;
45;Recuerden, ni§os: mientras peor salga el ex†men, m†s fondos nos dan, as° que no se esfuercen mucho.  Edna Krabappel;
46;Haz lo que quiero decir, no lo que digo.  Edna Krabappel;
47;No quiero que se preocupen, ni§os, estas pruebas no tienen efecto sobre sus notas. S¢lo determina su futuro nivel social y Çxito financiero. Si es que lo tienen.  Edna Krabappel;
48;Bueno, pong†moslo as°: ®tu has ido a alg£n dentista? Yo no. Supongo que debo ir a uno, pero ya tengo mucho dolor en mi vida.  Enc°as Sangrantes Murphy;
49;El blues no es para sentirse mejor, es para hacer que otros se sientan peor... ganando algunos d¢lares con ello.  Enc°as Sangrantes Murphy;
50;Central, aq£i el jefe G¢rgory en persecuci¢n de las mujeres rebeldes. Estoy en una carretera... eh... parece de asfalto... eh... pues hay †rboles, arbustos y est† directo bajo el sol... ahora.  Jefe G¢rgory;
51;Aqu° Pap† Oso, env°en un bolet°n de sospechoso var¢n huyendo en un... auto de cierta marca, con direcci¢n hacia... eh... donde venden hamburguesas. El sospechoso no tiene sombrero, repito, sin sombrero.  Jefe G¢rgory;
52;Recuerda, hijo, si te sangra la nariz es porque te metes el dedo demasiado, ... o demasiado poco.  Jefe G¢rgory;
53;Con el polic°a Nß1 de la ciudad haciendo su trabajo, no tienen nada por quÇ preocuparse. Ahora, ®d¢nde puse mi arma?  Jefe G¢rgory;
54;Bueno, bueno, miren quiÇn est† aqu°: el Sr. No-Soborno. Seguro lo ayudaremos. ≠S¢lo siÇntente y espere al detective Me-Importa-Un-Comino!  Jefe G¢rgory;
55;As° sea conquistando una ni§a o rompiendo una nuez, la clave es PERSEVERANCIA. Sigue intentando y nunca te rindas. ≠Bueno, ya, maldita nuez! ®Alguna m†s quiere dar problemas?  Jefe G¢rgory;
56;Espero que esto le haya ense§ado a sus ni§os una lecci¢n: los ni§os nunca aprenden.  Jefe G¢rgory;
57;Uh, no, ha marcado un n£mero equivocado. Este es el 9-1... 2.  Jefe G¢rgory;
58;Muy bien. ≠Salga con manos arriba, dos cafÇs, un refrigerante para el auto que dice Capricornio, y algo con coco arriba!  Jefe G¢rgory;
59;Ella no tuvo en cuenta el poder impresionante del Jefe de Polic°a. ®Ahora, d¢nde puse mi placa? ≠Oye, aquel pato la agarr¢!  Jefe G¢rgory;
60;Ellos s¢lo salen por las noches. O en este caso, de d°a.  Jefe G¢rgory;
61;Llegar a ser un polic°a no es algo que sucede de la noche a la ma§ana. Toma todo un duro fin de semana de instrucci¢n conseguir la insignia.  Jefe G¢rgory;
62;Ese Tony es un c†ncer en esta ciudad. êl es el c†ncer y yo... eh... ®quÇ cura eso?...  Jefe G¢rgory;
63;≠Oh, por Dios! ®Las personas no podr°an hacer justicia por mano propia? ≠No podemos estar vigilando toda la ciudad!  Jefe G¢rgory;
64;Bien, su historia es muy interesante se§or Pelmazo, eh digo Simpson, as° que voy a transcribirla en mi maquina de escribir invisible... mh mmh mmmh lalala...  Jefe G¢rgory;
65;Lee la placa, hijo: ≠Los sobornos son s¢lo en efectivo!  Jefe G¢rgory;
66;Lo siento, vamos a tener que quitarle la pierna... ≠jo ja! ®dije pierna? No, quise decir traje de ba§o.  Doctor Hibbert;
67;No te preocupes, hijo, vas a estar bien. Tienes el apÇndice inflado y a punto de estallar, lo que lo har† m†s f†cil de encontrar... cuando lo haga.  Doctor Hibbert;
68;Me temo que su esposo ha muerto... ≠jo jo! ≠s¢lo bromeaba!  Doctor Hibbert;
69;No te puedes culpar toda la vida. ≠C£lpate una vez y a otra cosa!  Homero Simpson;
70;≠V†monos, Bart! ≠Tengo que levantarme a las 6 a robarme el peri¢dico de Flanders!  Homero Simpson;
71;Sabes, Billy Corgan, mis hijos te admiran mucho, y gracias a tu l£gubre m£sica al fin dejaron de so§ar en un futuro que yo no puedo darles.  Homero Simpson;
72;Soy un hombre atrapado entre la corpulencia y la obesidad.  Homero Simpson;
73;Marge, si mi padre se casa con tu mam†, tu y yo ser°amos hermanos ≠y nuestros hijos ser°an monstruos horribles con manchas verdes y rojas, sin dientes y con cinco dedos en las manos!.  Homero Simpson;
74;Hijo, cuando participas en eventos deportivos, no importa que ganes o pierdas, sino cuan ebrio te pongas.  Homero Simpson;
75;®Quieres callarte? ≠No puedo oir lo que pienso!  Homero Simpson;
76;®Tu conciencia? Lisa, no dejes que esa entrometida te diga quÇ tienes que hacer.  Homero Simpson;
77;Siempre he tenido un vac°o dentro de mi. He tratado de llenarlo con la familia, la religi¢n, el box... pero eran puertas falsas. Y creo que este sill¢n es la respuesta.  Homero Simpson;
78;Para mentir se necesitan dos: uno que mienta y el otro que crea.  Homero Simpson;
79;Marge, nuestro matrimonio es como una sociedad: cuando uno se cae, el otro lo levanta. Cuando uno no termina el sandwich, el otro se lo come.  Homero Simpson;
80;Los zurdos tambiÇn tienen derecho.  Homero Simpson;
81;≠Se acab¢! ≠Voy a salir de este pueblo vivo aunque me muera!  Homero Simpson;
82;Uno aprende m†s en un aeropuerto que en una escuela.  Homero Simpson;
83;Siempre le compramos a Maggie vacunas para enfermedades que no tiene.  Homero Simpson;
84;≠Se cort¢ la luz! ≠®C¢mo harÇ para comer sin ver televisi¢n?!  Homero Simpson;
85;Te advierto que si vas a enfadarte conmigo cada vez que haga una estupidez, no tendrÇ m†s remedio que dejar de hacer estupideces.  Homero Simpson;
86;Yo no soy f†cil de impresionar? ≠Mira! ≠un coche azul!  Homero Simpson;
87;Televisi¢n, maestra, madre, amante secreta.  Homero Simpson;
88;®Por quÇ siempre me pasa todo lo malo a m° y a mi cerveza?  Homero Simpson;
89;®Y quÇ tal si la religi¢n no es buena? ≠Cada domingo har°amos enfadar m†s y m†s a Dios!  Homero Simpson;
90;Cu†ndo aprenderÇ que las respuestas a los problemas de la vida no est†n en el fondo de un vaso, sino en la televisi¢n?  Homero Simpson;
91;Hijos, hicieron su mejor esfuerzo y fracasaron miserablemente. La moraleja es: nunca se esfuercen.  Homero Simpson;
92;Camarero, dÇme el filete m†s grande que tenga. Y para beber, alb¢ndigas.  Homero Simpson;
93;Puedes tener todo el dinero del mundo, pero hay algo que nunca podr†s comprar? un dinosaurio.  Homero Simpson;
94;Pienso en m° como un vegetariano de segunda mano: las vacas se comen la hierba, yo me como a las vacas.  Homero Simpson;
95;≠Operadora! ≠DÇme el n£mero para el 911!  Homero Simpson;
96;S¢lo porque no me importe no significa que no entienda.  Homero Simpson;
97;Normalmente no rezo, pero si est†s ah°, por favor, s†lvame Superman.  Homero Simpson;
98;Bueno, Moe, es la 1 de la madrugada, me voy a convivir un poco con mis hijos.  Homero Simpson;
99;ContarÇ este secreto a todo el mundo... ≠y me sentirÇ importante sin estar ebrio!  Homero Simpson;
100;Sabes hijo, un reactor nuclear es como una mujer. S¢lo tienes que leer el manual y apretar los botones adecuados.  Homero Simpson;
101;Lisa, cuando no te gusta tu trabajo no haces huelga, simplemente vas todos los d°as y haces todo de mala gana. Ese es el estilo de nuestro pa°s.  Homero Simpson;
102;®Y yo para quÇ quiero un psiquiatra? ≠Ya sÇ que mi hijo est† loco!  Homero Simpson;
103;Marge, eres tan hermosa como la Princesa Leia y tan lista como Yoda.  Homero Simpson;
104;Cuando miro las caras sonrientes de los ni§os, s¢lo sÇ que est†n planeando golpearme con algo.  Homero Simpson;
105;Hoy estoy teniendo el mejor d°a de mi vida, y ≠todo se lo debo a no ir a la iglesia!  Homero Simpson;
106;≠No soy un mal tipo! Trabajo duro y quiero a mis hijos. Entonces, ®por quÇ tengo que pasarme medio domingo escuchando c¢mo voy a ir al infierno?  Homero Simpson;
107;Librarte de formar parte de un jurado popular es f†cil. S¢lo tienes que decir que tienes prejuicios contra todas las razas.  Homero Simpson;
108;No es f†cil organizarse con una mujer embarazada e hijos con problemas. Pero de alguna forma consigo organizarme para ver la televisi¢n 8 horas al d°a.  Homero Simpson;
109;Lisa, los vampiros son seres inventados, como los duendes, los gremlins y los esquimales.  Homero Simpson;
110;Oh, la gente puede venir con estad°sticas para probar cualquier cosa. El 14% de la gente sabe eso.  Homero Simpson;
111;®C¢mo se supone que la educaci¢n me va a hacer m†s listo? Al contrario, cada vez que aprendo algo nuevo, algo que ya sab°a desaparece de mi cerebro. ®Recuerdas cuando hice ese curso de fabricaci¢n de vino en casa y se me olvid¢ conducir?  Homero Simpson;
112;Toda la vida he tenido un sue§o: conseguir todos mis objetivos.  Homero Simpson;
113;Pap†, has hecho muchas cosas importantes en tu vida, pero eres un hombre mayor, y los hombre mayores no tienen ning£n valor.  Homero Simpson;
114;Cerveza: causa y soluci¢n de todos los problemas.  Homero Simpson;
115;Si algo es dif°cil y duro de hacer, entonces no merece la pena hacerlo.  Homero Simpson;
116;En la vida hay tres tipos de personas: las que saben contar y las que no.  Homero Simpson;
117;La vida es una aplastante derrota una tras otra hasta que acabas deseando que muera Flanders.  Homero Simpson;
118;Marge, no le busques tres gatos al pie.  Homero Simpson;
119;®QuÇ tiene de importante entrar en un edificio todos los domingos? ≠Dios est† en todas partes!  Homero Simpson;
120;Dejen que sus hijos crezcan salvajes y libres, porque ya saben el dicho: 'Dejen que sus hijos crezcan salvajes y libres'.  Homero Simpson;
121;Si alguien te pregunta, necesitas asistencia mÇdica todo el a§o, Lisa es clÇrigo, Maggie son siete personas y Bart fue herido en Vietnam.  Homero Simpson;
122;Lisa, recuÇrdeme siempre as°: ≠lleno de una ira homicida!  Homero Simpson;
123;≠No pueden odiarme! ≠Soy mejor que ustedes!  Homero Simpson;
124;Marge, esto lo hago por Lisa, voy a estar toda la noche escribiendo. Prepara cafÇ, t¢matelo y hazme hamburguesas.  Homero Simpson;
125;Si me r°o de lo que creo que me estoy riendo, es muy gracioso.  Homero Simpson;
126;Primero no quer°as que lo comprara, ahora quieres que lo devuelva, ≠A ver si te aclaras, Marge!  Homero Simpson;
127;Es mejor ver cosas que hacer cosas.  Homero Simpson;
128;He viajado a la Çpoca en la que hab°a dinosaurios no s¢lo en los zool¢gicos.  Homero Simpson;
129;≠Uh Hoo! ≠Ya soy universitario! ≠Ya no necesito el diploma de la escuela secundaria!  Homero Simpson;
130;Tener hijos es muy f†cil. Les puedes ense§ar a odiar lo que t£ odias, y con eso de internet se te cr°an solos.  Homero Simpson;
131;No ment°a, escrib°a ficci¢n con los labios.  Homero Simpson;
132;Todo lo que cueste m†s de 12 pasos no es digno de merecer la pena.  Homero Simpson;
133;≠Nuestros Beatles son mejores que sus Rolling Stones!  Homero Simpson;
134;®C¢mo puedo saber si muri¢ o no? ®QuÇ crees que soy? ®MÇdico?  Homero Simpson;
135;La mujer, hijo, es como una cerveza. Se ve bien, sabe bien y har°as cualquier estupidez por conseguir una.  Homero Simpson;
136;Por m†s bueno que seas, siempre hay un mill¢n de personas mejores que t£.  Homero Simpson;
137;No es por ofender Apu, pero cuando repartieron las religiones tu deb°as estar haciendo pis.  Homero Simpson;
138;Dios es el m†s poderoso, es mi personaje de ficci¢n favorito.  Homero Simpson;
139;Yo cuando sea grande quiero ser como mi hija Lisa, s¢lo que en hombre.  Homero Simpson;
140;M†s vale no hablar y parecer tonto que hablar y confirmarlo.  Homero Simpson;
141;Hijo, la menopausia es cuando la cigÅe§a que trae a los ni§os, le pega un tiro un cazador borracho.  Homero Simpson;
142;Bart: ahora eres el hombre de la casa. Lisa: te asciendo a hijo.  Homero Simpson;
143;Estaba haciendo la declaraci¢n de la Renta y por error demostrÇ que Dios no existe.  Homero Simpson;
144;≠C†llate o te apu§alo con un hisopo!  Homero Simpson;
145;®QuÇ eres, Agente de Viajes?, por que me diste un viaje a la Culpa.  Homero Simpson;
146;Hijo, si quieres algo en esta vida, debes luchar por ello. ≠Ahora silencio, van a decir la loter°a!  Homero Simpson;
147;Ah, la soledad y las hamburguesas con queso son una combinaci¢n peligrosa.  Jeff Albertson, el tipo de la tienda de comics;
148;Bart, tienes suerte ser el hermano de tu hermana.  Jimbo Rosso;
149;®No es esto lo que todos nos preguntamos en la vida: d¢nde est† mi elefante? Por lo menos yo, s°.  Kent Brockman;
150;Estoy al aire pero no me importa, no darÇ noticias hasta que me regresen mi pan danÇs.  Kent Brockman;
151;Fuego... el peor enemigo del hombre. Imprevisible, incontenible, ≠invertebrado! A continuaci¢n, ®quÇ funciona mejor? ®Alfileres de gancho o de los otros?  Kent Brockman;
152;Un terrible terremoto causa estragos en Kualala... Kualala... ≠Francia!  Kent Brockman;
153;"En su carrera, un reportero se entera de cosas que por alg£n motivo no puede dar a conocer; pero como ya no importa nada... todos estos estos son homosexuales:...  Kent Brockman";
154;...y el peludo gatito jug¢ con esa pelota de cuerda toda noche. En una noticia m†s ligera, un empleado del mercado Kwik-E fue asesinado brutalmente anoche.  Kent Brockman;
155;Los resultados de las elecciones son: 100% por Bob Pati§o, 1% por el Alcalde Diamante, con un 1% de margen de error.  Kent Brockman;
156;Soy Kent Brockman. Hoy en las noticias, cierta bebida ha resultado ser mortal. No les diremos cu†l hasta despuÇs de los deportes con Beto Malpaso.  Kent Brockman;
157;®De quÇ sirve el respeto si no hay plata que lo sustente?  El payaso Krusty;
158;Robar, inventar... es lo mismo.  El payaso Krusty;
159;≠QuÇ tal Se§or Presidente! ≠Hice campa§a por el otro candidato pero votÇ por usted!  El payaso Krusty;
160;≠Ahhh! No hay nada mejor que un cigarrillo... salvo un cigarrillo encendido con un billete de 100 d¢lares.  El payaso Krusty;
161;Cari§o, no soy la clase de padre que dice cosas, hace cosas o que te mira, pero el amor lo llevo por dentro.  El payaso Krusty;
162;®Valdr°a la pena vivir en un mundo sin televisi¢n? Creo que los sobrevivientes envidiar°an a los muertos.  El payaso Krusty;
163;≠Homero, nos has quitado nuestros empleos y los necesitamos para trabajar!  Lenny Leonard;
164;Lo m°o con la vecina se acab¢. Ha puesto una persiana.  Lenny Leonard;
165;El n£mero m†ximo de pinzas que un hombre puede ponerse en la cara son 87.  Lenny Leonard;
166;≠Eh! ≠He encontrado perlas! Ah, no, son mis dientes. Bueno, me harÇ un collar con ellos.  Lenny Leonard;
167;No sÇ d¢nde Carl comienza y termina.  Lenny Leonard;
168;No pueden despedirme, soy el £nico que sabe c¢mo destrabar el bot¢n del generador  Lenny Leonard;
169;Me niego a creer que todos se nieguen a creer la verdad.  Lisa Simpson;
170;Es mejor estar callado y ser tomado por tonto que abrir la boca y despejar las dudas.  Lisa Simpson;
171;No sÇ muy bien quÇ o quiÇn es Dios. S¢lo sÇ que es m†s poderoso que pap† y mam† juntos.  Lisa Simpson;
172;La felicidad es inversamente proporcional a la inteligencia. ≠Incluso he trazado un gr†fico! Me gustan mucho los gr†ficos.  Lisa Simpson;
173;Gracias al Sanex no siento tanta ansiedad por ser una Simpson. Siento ansiedad por tomar Sanex. Pero se me pasa con el Zolop.  Lisa Simpson;
174;Estoy rezando a Dios, a Buda y a Bob Esponja.  Lisa Simpson;
175;Si algo he aprendido de Scooby Doo es que s¢lo hay que tenerle miedo a los agentes inmobiliarios corruptos.  Lisa Simpson;
176;Mi vida es muy aburrida. La semana pasada vino un testigo de Jehov† y yo no lo dejaba ir. Escap¢ cuando fui a la cocina a buscar m†s limonada.  Marge Simpson;
177;Mi t°o Arturo sol°a decir: M†talos a todos y que Dios los seleccione. Un d°a decidi¢ llevarlo a la pr†ctica. Hicieron falta seis agentes para detenerlo. ≠As° que dejemos de hablar de mi t°o, no me gusta recordarlo!  Marge Simpson;
178;Si yo no fuera un ama de casa, ser°a una constructora de casas, o quiz† un ingeniero domÇstico.  Marge Simpson;
179;La mayor°a de las mujeres le dir†n que usted es una tonta si piensa que usted puede cambiar a un hombre. ≠Pero esas mujeres son desertoras!  Marge Simpson;
180;Lisa: no importa c¢mo te sientas, ®entiendes? Lo que cuenta es lo que muestras a los dem†s. Eso me dec°a mi madre. Toma tus sentimientos negativos y emp£jalos hacia abajo, m†s abajo de tus rodillas, hasta que casi los pises. Y entonces te adaptar†s y te invitar†n a fiestas y agradar†s a los chicos. Y llegar† la felicidad.  Marge Simpson;
181;El potencial de travesura var°a a la inversa con la proximidad de la figura de autoridad.  Martin Prince;
182;Bart, es la primera vez que alguien se sienta junto a mi desde que convenc° al Director de extender las clases 20 minutos.  Martin Prince;
183;≠No soy gay! ≠A£n no soy nada!  Martin Prince;
184;Pues yo soy m†s que basura. Bueno, casi toda las basura. No la de barrios elegantes, esa tiene muchas cosas buenas. No puedo competir contras eso.  Moe Szyslak;
185;Claro, puedo prestarte lo que quieras, Homero. Sin embargo, como no tienes garant°a, te voy a romper las piernas por adelantado.  Moe Szyslak;
186;Es la primera vez que estoy en primera fila desde el d°a de mi boda.  Moe Szyslak;
187;Tarde o temprano, a todos nos disparan.  Moe Szyslak;
188;Prefiero que me des una patada, porque necesito desesperadamente contacto humano.  Moe Szyslak;
189;®Cu†nto cobran los extras de cine? Porque dicen que me parezco a Macaulay Culkin.  Moe Szyslak;
190;Ah, se creen todopoderosos s¢lo porque nunca los han sorprendido conduciendo sin pantalones.  Moe Szyslak;
191;Los ricos no son felices. Creen durante toda su vida que lo son, pero en realidad no lo son, crÇeme.  Moe Szyslak;
192;La satisfacci¢n en el trabajo y la uni¢n de la familia son veneno para un peque§o proveedor de intoxicante como yo.  Moe Szyslak;
193;No he sonre°do desde que matÇ a aquella rata con el picahielo.  Moe Szyslak;
194;Hola, mi nombre Moe. O como las damas prefieren decirme: oiga, usted, en los arbustos.  Moe Szyslak;
195;Yo creo que generalizar siempre es injusto pero... la gente vieja no es buena para nada.  Moe Szyslak;
196;≠µnimo Homero! Est†s haciendo el Happy Hour amargamente ir¢nico.  Moe Szyslak;
197;Se§ora Simpson, cuando usted se fue, le dej¢ a su hijo Homero un hueco en el coraz¢n ≠que ha tratado de llenar con alcohol durante 20 a§os!... Dios la bendiga.  Moe Szyslak;
198;Bart, tu £nico defecto es siempre buscar la perfecci¢n. Si es que tienes defectos.  Milhouse Van Houten;
199;≠No puedo ir al reformatorio, ellos utilizan a tipos como yo como moneda de cambio!  Milhouse Van Houten;
200;Soy alÇrgico al espacio exterior.  Milhouse Van Houten;
201;®C¢mo pas¢ esto? Empezamos como Romeo y Julieta ≠y todo termin¢ en tragedia!  Milhouse Van Houten;
202;Hay recreo en todas partes pero no en mi coraz¢n.  Milhouse Van Houten;
203;Mi mam† dice que soy s£per.  Milhouse Van Houten;
204;Los adultos nos tratan como si fuÇramos ni§os. Los ni§os nos tratan como si fuÇramos bancos.  Milhouse Van Houten;
205;≠Esto es como M†xima Velocidad 2 pero en un autob£s en vez de en un barco!  Milhouse Van Houten;
206;Mi mam† dice que si tomo leche de verdad, me muero.  Milhouse Van Houten;
207;Maestra, ®hay cavern°colas en el cielo?  Milhouse Van Houten;
208;≠Todo ha salido a pedir de Milhouse!  Milhouse Van Houten;
209;Si es claro y amarillo, seguro que es juguillo. Si es turbio y picoz¢n, ≠es sidra, muchach¢n!  Ned Flanders;
210;Un poco de diversi¢n no viene mal a nadie. Antes dejaba a mis hijos que viesen La Huerfanita, pero luego me di cuenta de que no dorm°an por la noche.  Ned Flanders;
211;He hecho todo que la Biblia dice ≠incluso cuando una cosa contradice a otra cosa!  Ned Flanders;
212;Dios bendiga al tendero por esta carne maravillosa, al intermediario que alz¢ el precio, y no nos olvidemos de humanos pero determinados muchachos del matadero.  Ned Flanders;
213;≠Por supuesto que soy aficionado a los Beatles. ≠Ellos fueron m†s grandes que Jes£s!  Ned Flanders;
214;Hey, espera un minuto. ≠Me haz hecho sangrar mi propia sangre!  Nelson Rufino;
215;Mi padre no me abandon¢, s¢lo se fue al mercado... ®verdad que si, mami?  Nelson Rufino;
216;Ya trabajamos mucho en la regi¢n media de Bart. ≠Ahora vamos a los ri§ones!  Nelson Rufino;
217;Oye, eso duele. No me extra§a que nadie vino a mi fiesta de cumplea§os.  Nelson Rufino;
218;Si te atas un cordel muy fuerte alrededor del dedo, se te pone morado.  Nelson Rufino;
219;®Necesita recortar sus gasto mÇdicos? Le practico cualquier operaci¢n por $129,95. Y por una cirug°a del cerebro, le regalo 3 juego de trampas para dedos.  Dr. Nick Riviera;
220;®Ya prob¢ lo mejor? Ahora pruÇbeme a mi.  Dr. Nick Riviera;
221;Fui a la escuela de medicina por 4 a§os y todo lo que me dieron fue un cochino diploma.  Dr. Nick Riviera;
222;Bueno si algo llegara a pasar, no hay que meter a Dios en esto... una mano lava la otra, y esto me recuerda? estos guantes me vinieron gratis con mi escobilla del water.  Dr. Nick Riviera;
223;®QuÇ...? ®Inflamable significa flamable?... ≠QuÇ pa°s!  Dr. Nick Riviera;
224;≠QuÇ buen d°a hace, creo que saldrÇ a pasear por la ventana!  Dr. Nick Riviera;
225;Llamen al 1-600-DOCTORB. La B es de Barato.  Dr. Nick Riviera;
226;®As° es como somos por dentro?... ≠Oh, esto es asqueroso! ≠Esta mujer se trag¢ un bebÇ entero!  Dr. Nick Riviera;
227;Cuando estuvo en coma, ®sinti¢ que su cerebro se da§aba?  Dr. Nick Riviera;
228;Tu problema es que tienes mucha sangre, as° que te pondremos estas sanguijuelas para que se tomen tu sangre. Para ma§ana estar†s bien o muerto, lo importante es que sabremos.  Dr. Nick Riviera;
229;Me gusta todo lo que marea.  Otto Mann;
230;El alcohol nos hace conducir mejor... eh... ®falso? ≠QuÇ mala pata!  Otto Mann;
231;Lo £nico que aprend° en la escuela fue a tocar la guitarra.  Otto Mann;
232;Mi nena me abandon¢ y se cas¢ con mi hermano. S°, doli¢, pero aqu° estoy, un mes despuÇs. ≠Y estoy duermiendo en su sof†!  Otto Mann;
233;Milhouse, creo que dejÇ mis pantalones en tu azotea.  Otto Mann;
234;Oiga, todo lo que sÇ hacer es conducir un autob£s, ≠y ahora quiere que tenga permiso para ello!  Otto Mann;
235;En el Departamento de Tr†nsito, hay d°as en que no dejamos que avance la fila. En todo el d°a. S°, los d°as h†biles.  Patty Bouvier;
236;®Yo reprobar espa§ol? ≠Ser imposible!  Rafa G¢rgory;
237;Cuando sea grande quiero ser un director o una oruga. ≠Lo quiero, profesor Skinner!  Rafa G¢rgory;
238;≠Ay, mi oreja! ≠Ay, mi cuello! Tengo da§o en los dos sitios.  Rafa G¢rgory;
239;Y la se§orita Krabappel y el Director estaban dentro de un armario haciendo bebÇs, y yo vi a los bebÇs, y uno de ellos se qued¢ mir†ndome.  Rafa G¢rgory;
240;Desde ahora s¢lo me casarÇ por amor. Tal vez una vez m†s por dinero.  Selma Bouvier;
241;Estoy sudando. Demos un paseo por el lavacoches.  Selma Bouvier;
